;ID;Latency;Enjoyed;Caused the Movements;Lateness;Over-Anticipation;Wrong Distance;Wrong Orientation;Jitter;Jumps;Spring Effect;Stick
23;5;50.0;2.142857142857143;2.4285714285714284;4.714285714285714;2.7142857142857144;3.7142857142857144;1.4285714285714286;3.2857142857142856;4.142857142857143;3.4285714285714284;1.2857142857142858
24;5;0.0;3.5714285714285716;3.142857142857143;2.4285714285714284;2.4285714285714284;3.0;1.1428571428571428;2.4285714285714284;3.7142857142857144;2.4285714285714284;1.0
25;6;16.67;4.333333333333333;4.0;1.6666666666666667;2.5;1.6666666666666667;1.3333333333333333;1.5;3.1666666666666665;2.0;1.0
26;6;-50.0;4.125;4.25;2.5;3.625;2.5;1.75;1.5;3.125;2.125;1.125
27;6;-16.67;4.714285714285714;4.714285714285714;2.2857142857142856;2.5714285714285716;2.0;1.5714285714285714;1.1428571428571428;2.857142857142857;1.4285714285714286;1.0
28;6;50.0;4.714285714285714;4.714285714285714;2.0;2.857142857142857;2.4285714285714284;1.8571428571428572;1.2857142857142858;3.142857142857143;1.4285714285714286;1.0
29;6;0.0;4.142857142857143;4.428571428571429;2.857142857142857;4.0;2.857142857142857;2.0;1.5714285714285714;4.0;2.2857142857142856;1.2857142857142858
30;7;16.67;1.2857142857142858;1.0;4.285714285714286;3.142857142857143;3.4285714285714284;3.4285714285714284;3.5714285714285716;3.857142857142857;4.142857142857143;3.7142857142857144
31;7;-50.0;2.142857142857143;1.0;1.7142857142857142;3.142857142857143;3.142857142857143;1.8571428571428572;2.4285714285714284;2.2857142857142856;2.142857142857143;2.857142857142857
32;7;-16.67;2.0;1.5714285714285714;2.5714285714285716;2.7142857142857144;2.857142857142857;3.142857142857143;3.142857142857143;3.7142857142857144;3.5714285714285716;2.7142857142857144
33;7;50.0;1.8571428571428572;1.0;3.4285714285714284;4.0;4.142857142857143;2.142857142857143;3.4285714285714284;3.857142857142857;2.5714285714285716;2.857142857142857
34;7;0.0;2.4285714285714284;1.1428571428571428;3.142857142857143;3.0;2.857142857142857;2.142857142857143;3.0;3.0;2.5714285714285716;2.5714285714285716
35;8;16.67;1.8571428571428572;2.0;2.142857142857143;3.142857142857143;2.2857142857142856;2.0;1.5714285714285714;2.857142857142857;1.2857142857142858;1.5714285714285714
36;8;-50.0;1.5714285714285714;2.0;1.2857142857142858;4.857142857142857;2.5714285714285716;2.4285714285714284;2.7142857142857144;3.2857142857142856;1.4285714285714286;1.0
37;8;-16.67;2.2857142857142856;2.2857142857142856;3.142857142857143;2.5714285714285716;2.857142857142857;1.5714285714285714;2.4285714285714284;3.2857142857142856;1.5714285714285714;1.1428571428571428
38;8;50.0;2.4285714285714284;3.4285714285714284;2.5714285714285716;1.7142857142857142;1.7142857142857142;1.4285714285714286;1.7142857142857142;3.0;2.2857142857142856;1.1428571428571428
39;8;0.0;2.0;2.142857142857143;2.2857142857142856;3.4285714285714284;3.2857142857142856;2.142857142857143;2.5714285714285716;3.857142857142857;1.5714285714285714;1.0
40;9;16.67;1.8571428571428572;2.0;3.142857142857143;4.142857142857143;4.142857142857143;2.857142857142857;4.285714285714286;4.714285714285714;4.714285714285714;3.4285714285714284
41;9;-50.0;1.4285714285714286;1.4285714285714286;3.0;4.285714285714286;4.571428571428571;2.857142857142857;3.857142857142857;4.571428571428571;4.714285714285714;4.0
42;9;-16.67;1.5714285714285714;1.5714285714285714;3.2857142857142856;4.285714285714286;3.857142857142857;3.0;4.285714285714286;4.714285714285714;4.571428571428571;3.4285714285714284
43;9;50.0;2.0;1.7142857142857142;2.0;3.857142857142857;4.142857142857143;1.7142857142857142;3.857142857142857;4.571428571428571;4.428571428571429;3.5714285714285716
44;9;0.0;1.4285714285714286;2.0;4.0;4.285714285714286;4.0;3.857142857142857;3.7142857142857144;4.714285714285714;4.428571428571429;3.5714285714285716
45;10;16.67;2.4285714285714284;2.2857142857142856;3.7142857142857144;3.142857142857143;2.5714285714285716;1.8571428571428572;3.5714285714285716;1.7142857142857142;1.4285714285714286;1.0
46;10;-50.0;3.5714285714285716;3.5714285714285716;2.0;3.5714285714285716;3.0;1.5714285714285714;3.2857142857142856;2.0;1.4285714285714286;1.0
