;Participant;Latency;Difficulty;MT in ms;SD
3265;24;-16.67;13.4;444.6666667;144.548723
3266;24;-16.67;13.41111111;724.3333333;219.6003947
3267;24;-16.67;15.27848101;1027.333333;224.2550631
3268;24;-16.67;15.87719298;758.6666667;150.5135653
3269;24;-16.67;17.73529412;597.6666667;567.5361956
3270;24;-16.67;17.75;1229.666667;599.1112863
3271;24;-16.67;20.11111111;1053.333333;63.90878917
3272;24;-16.67;21.1754386;786.3333333;140.3186849
3273;24;-16.67;26.61764706;1131.333333;677.4343757
3274;24;-16.67;26.82222222;1036.333333;641.7665723
3275;24;-16.67;35.5;2715.333333;1148.331979
3276;24;0;2.960784314;67.33333333;32.34707612
3277;24;0;3.355555556;187.3333333;164.6035642
3278;24;0;3.82278481;226.3333333;69.17610377
3279;24;0;4.441176471;180;82.28608631
3280;24;0;5.298245614;233;188.8041313
3281;24;0;5.911764706;341.3333333;166.1334805
3282;24;0;6.7;331;206.5453945
3283;24;0;6.711111111;119.3333333;81.46369334
3284;24;0;7.632911392;526;224.1405809
3285;24;0;8.867647059;890.6666667;433.2716623
3286;24;0;8.87254902;551;136.7040599
3287;24;0;8.882352941;350;245.8231071
3288;24;0;10.05555556;676;437.3739819
3289;24;0;10.57894737;424.6666667;451.7713286
3290;24;0;11.4556962;465.6666667;286.1963196
3291;24;0;11.83333333;943.3333333;602.3963258
3292;24;0;13.30882353;977.6666667;464.8809884
3293;24;0;13.4;442.6666667;202.1294964
3294;24;0;13.41111111;1082.333333;247.7283458
3295;24;0;15.27848101;1152.333333;492.2614481
3296;24;0;15.87719298;441;335.2953922
3297;24;0;17.73529412;950.3333333;394.1501406
3298;24;0;17.75;1296.666667;580.959838
3299;24;0;20.11111111;564.3333333;175.3349176
3300;24;0;21.1754386;1578.666667;463.2583872
3301;24;0;26.61764706;1243;104.4174315
3302;24;0;26.82222222;1243.666667;108.6155299
3303;24;0;35.5;2440.333333;803.0132834
3304;24;16.67;2.960784314;150.3333333;32.1299445
3305;24;16.67;3.355555556;270.6666667;102.0114373
3306;24;16.67;3.82278481;229.6666667;192.1492475
3307;24;16.67;4.441176471;232;70.16409338
3308;24;16.67;5.298245614;360;238.0063024
3309;24;16.67;5.911764706;373.3333333;231.7117462
3310;24;16.67;6.7;397.3333333;294.2045773
3311;24;16.67;6.711111111;181.6666667;157.0424571
3312;24;16.67;7.632911392;359.6666667;61.00273218
3313;24;16.67;8.867647059;197.3333333;23.43786111
3314;24;16.67;8.87254902;562.6666667;275.2840957
3315;24;16.67;8.882352941;438.3333333;539.0327758
3316;24;16.67;10.05555556;485.6666667;114.001462
3317;24;16.67;10.57894737;228;146.5503327
3318;24;16.67;11.4556962;567;101.5332458
3319;24;16.67;11.83333333;668.6666667;242.8463163
3320;24;16.67;13.30882353;348.6666667;180.9042104
3321;24;16.67;13.4;362.6666667;445.6616804
3322;24;16.67;13.41111111;647;157.1241547
3323;24;16.67;15.27848101;541.3333333;268.3921261
3324;24;16.67;15.87719298;765.3333333;454.493491
3325;24;16.67;17.73529412;998.6666667;651.5652948
3326;24;16.67;17.75;1063.333333;307.6204371
3327;24;16.67;20.11111111;1455.666667;605.6453858
3328;24;16.67;21.1754386;1704.333333;429.0784699
3329;24;16.67;26.61764706;1658;946.938224
3330;24;16.67;26.82222222;1049.666667;542.4917818
3331;24;16.67;35.5;1638.666667;664.0906063
3332;24;50;2.960784314;201.3333333;153.4351111
3333;24;50;3.355555556;249.6666667;71.31853429
3334;24;50;3.82278481;181.3333333;59.54270176
3335;24;50;4.441176471;240;184.2932446
3336;24;50;5.298245614;366.3333333;95.08592605
3337;24;50;5.911764706;396.3333333;80.00208331
3338;24;50;6.7;271.6666667;61.27261487
3339;24;50;6.711111111;151.6666667;184.4568604
3340;24;50;7.632911392;353;62.69768736
3341;24;50;8.867647059;233.6666667;34.26854729
3342;24;50;8.87254902;704.6666667;126.8752668
3343;24;50;8.882352941;282.6666667;245.5714424
3344;24;50;10.05555556;507.3333333;52.01281893
3345;24;50;10.57894737;435;116.8203749
3346;24;50;11.4556962;672.3333333;275.4384384
3347;24;50;11.83333333;1089;130.656037
3348;24;50;13.30882353;969.6666667;294.1858823
3349;24;50;13.4;624.6666667;282.7018453
3350;24;50;13.41111111;740.3333333;215.8062403
3351;24;50;15.27848101;1262;333.6929727
3352;24;50;15.87719298;722.6666667;207.2687466
3353;24;50;17.73529412;1035.333333;396.496322
3354;24;50;17.75;1014.333333;40.77172223
3355;24;50;20.11111111;767.6666667;405.1139757
3356;24;50;21.1754386;1981.333333;750.2748385
3357;24;50;26.61764706;834;618.4229944
3358;24;50;26.82222222;424;156.9044295
3359;24;50;35.5;3709;2146.168446
3360;25;-50;2.960784314;49;33.77869151
3361;25;-50;3.355555556;48.66666667;17.03917056
3362;25;-50;3.82278481;49.33333333;17.61628035
3363;25;-50;4.441176471;74.66666667;17.03917056
3364;25;-50;5.298245614;165;82.3468275
3365;25;-50;5.911764706;69.66666667;44.29823172
3366;25;-50;6.7;88.66666667;2.516611478
3367;25;-50;6.711111111;51;19.92485885
